Code, Routine, Start Time, Stop Time, Description
EX, morning, 2018-02-22T06:51:09-05:00, 2018-02-22T08:02:27-05:00, Morning Exercises,
FD, morning, 2018-02-22T08:02:31-05:00, 2018-02-22T09:03:23-05:00, Breakfast and Meds,
BT, morning, 2018-02-22T09:04:25-05:00, 2018-02-22T09:19:36-05:00, Brush Teeth,
SH, morning, 2018-02-22T09:22:20-05:00, 2018-02-22T09:46:52-05:00, Shave and Shower,
FT, morning, 2018-02-22T09:46:55-05:00, 2018-02-22T10:05:14-05:00, Fissure Treatment,
CL, morning, 2018-02-22T10:05:15-05:00, 2018-02-22T10:14:03-05:00, Put Clothes On,
EY, morning, , 2018-02-22T10:17:52-05:00, Eye Lubricant Again, finished earlier
B, morning, , 2018-02-23T09:25:37-05:00, Get Out of Bed, finished earlier
B, morning, , 2018-02-24T08:26:51-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-24T08:26:57-05:00, 2018-02-24T08:31:48-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-24T08:32:14-05:00, 2018-02-24T09:06:16-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-24T09:20:06-05:00, 2018-02-24T09:21:31-05:00, Make Bed,
EX, morning, 2018-02-24T10:33:25-05:00, 2018-02-24T10:33:28-05:00, Morning Exercises, UNFINISHED
FD, morning, 2018-02-24T10:33:31-05:00, 2018-02-24T11:09:13-05:00, Breakfast and Meds,
BT, morning, 2018-02-24T14:21:28-05:00, 2018-02-24T14:40:32-05:00, Brush Teeth,
SH, morning, 2018-02-24T14:40:37-05:00, 2018-02-24T15:04:26-05:00, Shave and Shower,
FT, morning, 2018-02-24T15:04:28-05:00, 2018-02-24T15:21:04-05:00, Fissure Treatment,
CL, morning, 2018-02-24T15:21:07-05:00, 2018-02-24T15:25:30-05:00, Put Clothes On,
EY, morning, 2018-02-24T15:53:06-05:00, 2018-02-24T15:53:58-05:00, Eye Lubricant Again,
T, morning, 2018-02-24T15:54:01-05:00, 2018-02-24T15:57:20-05:00, Update Todo List,
FD, midday, 2018-02-24T15:57:50-05:00, 2018-02-24T16:22:46-05:00, Lunch and Meds,
EY, evening, , 2018-02-24T22:43:54-05:00, Afternoon Eye Lubricant, finished earlier
FD, evening, , 2018-02-24T22:51:09-05:00, Dinner and Meds, finished earlier
BT, evening, 2018-02-24T23:00:04-05:00, 2018-02-24T23:15:39-05:00, Brush Teeth,
FT, evening, 2018-02-24T23:15:41-05:00, 2018-02-24T23:37:01-05:00, Fissure Treatment,
EY, evening, 2018-02-24T23:38:38-05:00, 2018-02-24T23:38:38-05:00, Nighttime Eye Lubricant,
SL, evening, 2018-02-24T23:42:31-05:00, 2018-02-25T06:22:45-05:00, Go to Sleep,
B, morning, , 2018-02-25T07:48:17-05:00, Get Out of Bed, finished earlier
T, morning, 2018-02-25T07:54:32-05:00, 2018-02-25T08:01:43-05:00, Calendar and Routine Todo List,
EY, morning, 2018-02-25T08:01:49-05:00, 2018-02-25T08:04:01-05:00, Morning Eye Lubricant,
MB, morning, 2018-02-25T08:04:03-05:00, 2018-02-25T08:08:07-05:00, Make Bed,
EX, morning, 2018-02-25T08:16:28-05:00, 2018-02-25T09:47:09-05:00, Morning Exercises, UNFINISHED
FD, morning, , 2018-02-25T11:32:16-05:00, Breakfast and Meds, finished earlier
BT, morning, 2018-02-25T13:37:43-05:00, 2018-02-25T13:55:43-05:00, Brush Teeth,
SH, morning, 2018-02-25T13:55:45-05:00, 2018-02-25T14:10:32-05:00, Shave and Shower,
FT, morning, 2018-02-25T14:10:34-05:00, 2018-02-25T14:25:38-05:00, Fissure Treatment,
