Time,Action,Goal,Task
1527528928.01,start,REC,openrealrecord
1527532005.03,stop,REC,openrealrecord
1527532048.27,start,SAFE,WV
1527545197.56,stop,SAFE,WV
1527591904,start,RESPONS,Eye Lubricant
1527591951,stop,RESPONS,Eye Lubricant
1527601286,start,RESPONS,Brush Teeth
1527602291,stop,RESPONS,Brush Teeth
1527613682,start,RESPONS,Fissure Treatment
1527859942,start,RESPONS,Eye Lubricant
1527860016,stop,RESPONS,Eye Lubricant
1527935095,start,RESPONS,Eye Lubricant
1527935133,stop,RESPONS,Eye Lubricant
1528026719,start,RESPONS,Eye Lubricant
1528026944,stop,RESPONS,Eye Lubricant
1528039400,start,RESPONS,Fissure Treatment
1528040605,stop,RESPONS,Fissure Treatment
1528040613,start,RESPONS,Eye Lubricant
1528040670,stop,RESPONS,Eye Lubricant
1527607606,start,RESPONS,Eye Lubricant
1527607685,stop,RESPONS,Eye Lubricant
1527682955,start,RESPONS,Eye Lubricant
1527683060,stop,RESPONS,Eye Lubricant
1527738781,start,RESPONS,Brush Teeth
1527739749,stop,RESPONS,Brush Teeth
1527739788,start,RESPONS,Eye Lubricant
1527739838,stop,RESPONS,Eye Lubricant
